street_name,year,month,legal_p_at_12,legal_p_at_17,legal_p_at_22,parked_cars_at_12,parked_cars_at_17,parked_cars_at_22,occupancy_at_12_pct,occupancy_at_17_pct,occupancy_at_22_pct,wkb_geometry
1. Tværvej,2019,9,27,27,27,29,26,29,107.0,96.0,107.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2020,9,27,27,27,29,31,33,107.0,115.0,122.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2021,3,27,27,27,31,32,32,115.0,119.0,119.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2021,9,27,27,27,25,25,29,93.0,93.0,107.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2022,3,29,30,30,25,28,29,86.0,93.0,97.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2022,9,30,30,30,29,31,33,97.0,103.0,110.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2023,3,30,30,30,27,36,39,90.0,120.0,130.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2023,10,30,30,30,31,30,33,103.0,100.0,110.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2024,3,30,30,30,35,33,32,117.0,110.0,107.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
1. Tværvej,2024,10,30,30,30,32,33,36,107.0,110.0,120.0,"MULTILINESTRING ((12.579297419292217 55.69758980075035, 12.580552865289347 55.69787242441478))"
A.F. Beyers Vej,2017,3,49,49,49,44,63,66,90.0,129.0,135.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2017,9,49,49,49,48,66,69,98.0,135.0,141.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2019,3,64,64,64,46,59,71,72.0,92.0,111.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2019,9,64,64,64,39,63,69,61.0,98.0,108.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2020,9,64,64,64,48,70,71,75.0,109.0,111.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2021,3,64,64,64,60,62,60,94.0,97.0,94.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2021,9,64,64,64,40,59,64,63.0,92.0,100.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2022,3,64,64,64,48,74,68,75.0,116.0,106.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2022,9,64,64,64,41,61,66,64.0,95.0,103.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2023,3,64,64,64,50,65,66,78.0,102.0,103.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2023,10,64,64,64,57,65,72,89.0,102.0,113.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2024,3,64,64,64,55,67,70,86.0,105.0,109.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Beyers Vej,2024,10,64,64,64,39,62,76,61.0,97.0,119.0,"MULTILINESTRING ((12.514132741391071 55.69190928302176, 12.509760385361778 55.69068745195916))"
A.F. Kriegers Vej,2012,3,39,39,39,19,21,27,49.0,54.0,69.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2012,3,6,6,6,5,8,6,83.0,133.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2013,3,39,39,39,19,20,29,49.0,51.0,74.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2013,3,6,6,6,5,6,5,83.0,100.0,83.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2013,9,39,39,39,24,26,39,62.0,67.0,100.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2013,9,6,6,6,6,6,7,100.0,100.0,117.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2014,3,39,39,39,12,15,30,31.0,38.0,77.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2014,3,6,6,6,8,9,7,133.0,150.0,117.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2014,9,39,39,39,20,23,33,51.0,59.0,85.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2014,9,6,6,6,6,7,7,100.0,117.0,117.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2015,3,6,6,6,8,7,7,133.0,117.0,117.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2015,3,39,39,39,18,29,41,46.0,74.0,105.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2015,9,39,39,39,23,30,40,59.0,77.0,103.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2015,9,6,6,6,5,6,5,83.0,100.0,83.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2016,3,39,39,39,23,26,32,59.0,67.0,82.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2016,3,6,6,6,5,6,4,83.0,100.0,67.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2016,9,39,39,39,22,21,41,56.0,54.0,105.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2016,9,6,6,6,6,7,6,100.0,117.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2017,3,5,5,5,7,6,5,140.0,120.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2017,3,38,38,38,20,25,40,53.0,66.0,105.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2017,9,38,38,38,24,28,39,63.0,74.0,103.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2017,9,5,5,5,6,7,5,120.0,140.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2018,3,38,38,38,22,26,41,58.0,68.0,108.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2018,3,5,5,5,5,6,5,100.0,120.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2018,9,38,38,38,23,23,34,61.0,61.0,89.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2018,9,6,6,6,6,7,5,100.0,117.0,83.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2019,3,38,38,38,26,37,45,68.0,97.0,118.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2019,3,6,6,6,5,6,5,83.0,100.0,83.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2019,9,40,40,40,28,29,43,70.0,73.0,108.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2019,9,6,6,6,4,5,5,67.0,83.0,83.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2020,9,6,6,6,6,9,6,100.0,150.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2020,9,40,40,40,20,28,42,50.0,70.0,105.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2021,3,40,40,40,26,29,40,65.0,73.0,100.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2021,3,5,5,5,6,5,5,120.0,100.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2021,9,4,4,4,5,6,5,125.0,150.0,125.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2021,9,40,40,40,22,33,40,55.0,83.0,100.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2022,3,4,4,4,5,5,5,125.0,125.0,125.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2022,3,40,40,40,34,32,41,85.0,80.0,102.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2022,9,4,4,4,5,6,5,125.0,150.0,125.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2022,9,40,40,40,22,33,40,55.0,83.0,100.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2023,3,4,4,4,6,4,4,150.0,100.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
A.F. Kriegers Vej,2023,3,40,40,40,20,30,43,50.0,75.0,108.0,"MULTILINESTRING ((12.584500590066941 55.70244575965753, 12.585341918612828 55.701362507010245))"
A.F. Kriegers Vej,2023,10,4,4,4,1,4,4,25.0,100.0,100.0,"MULTILINESTRING ((12.584327594855344 55.702664504128116, 12.584417204809775 55.702549420669534))"
